latitud	longitud	medio_transporte	modalidad	conducta_especial	arma_medio	nombre_barrio	lugar	sede_receptora	bien	categoria_bien	grupo_bien	edad
6.26444900000	-75.56737700000	Caminata	Atraco	No	No	Sevilla	Institución de educación superior	Villa Hermosa	Sin dato maquinaria y equipo	Maquinaria y equipo	Mercancía	41
6.26444900000	-75.56737700000	Caminata	Llave maestra	No	Arma cortopunzante	Sevilla	Institución de educación superior	Aranjuez	Sin dato maquinaria y equipo	Maquinaria y equipo	Mercancía	41
6.24812500000	-75.56677200000	Caminata	Abuso de confianza	No	No	La Candelaria	Droguería o farmacia	Candelaria	Peso	Dinero	 joyas	 piedras preciosas y título valor
6.24812500000	-75.56677200000	Caminata	Vandalismo	No	No	La Candelaria	Droguería o farmacia	Belén	Peso	Dinero	 joyas	 piedras preciosas y título valor
6.25012600000	-75.57230500000	Caminata	Atraco	A vehículo repartidor	Arma de fuego	Guayaquil	Taller mecánico	Candelaria	Sin dato maquinaria y equipo	Maquinaria y equipo	Mercancía	22
6.24968900000	-75.56970900000	Caminata	Atraco	No	Arma de fuego	La Candelaria	Almacén tienda y otro	Candelaria	Peso	Dinero	 joyas	 piedras preciosas y título valor
6.24968900000	-75.56970900000	Caminata	Halado	No	Arma de fuego	La Candelaria	Almacén tienda y otro	Laureles	Peso	Dinero	 joyas	 piedras preciosas y título valor
6.25012600000	-75.57230500000	Caminata	Rompimiento cerraduta	No	Arma de fuego	Guayaquil	Taller mecánico	Laureles	Sin dato maquinaria y equipo	Maquinaria y equipo	Mercancía	22
6.26540800000	-75.56238000000	Caminata	Atraco	A vehículo repartidor	Arma de fuego	San Pedro	Oficina	Aranjuez	Peso	Dinero	 joyas	 piedras preciosas y título valor
6.26540800000	-75.56238000000	Automóvil	Atraco	No	Arma de fuego	San Pedro	Oficina	Castilla	Peso	Dinero	 joyas	 piedras preciosas y título valor
6.23201900000	-75.57428300000	Caminata	Halado	No	Arma de fuego	Perpetuo Socorro	Oficina	Candelaria	Sin dato maquinaria y equipo	Maquinaria y equipo	Mercancía	50
6.23201900000	-75.57428300000	Caminata	Ventosa	No	No	Perpetuo Socorro	Oficina	Belén	Sin dato maquinaria y equipo	Maquinaria y equipo	Mercancía	50
6.25515500000	-75.58286500000	Caminata	Halado	No	No	Suramericana	Almacén tienda y otro	Laureles	Sin dato mercancías	Sin dato mercancías	Mercancía	27
