"","Arma.cortopunzante","Arma.de.fuego","Escopolamina","Llave.maestra","No","Objeto.contundente","Palanca"
"Abuso de confianza",10,49,0,0,157,35,8
"Arma de fuego",0,4,0,0,0,0,0
"Atraco",631,5769,17,4,768,333,34
"Auto robo",0,0,0,0,2,0,0
"Clonación de tarjeta",1,2,0,0,15,0,0
"Comisión de delito",2,4,0,0,88,2,0
"Cosquilleo",0,1,0,0,3,0,0
"Descuido",173,327,2,14,5498,586,90
"Enfrentamiento con la fuerza pública",0,1,0,0,0,0,0
"Engaño",27,87,0,1,878,66,6
"Escopolamina",3,6,13,0,20,7,1
"Halado",87,139,4,1,595,101,27
"Informático",1,1,0,1,18,0,0
"Llave maestra",33,72,0,95,555,87,22
"Mechero",88,169,0,0,3793,337,15
"Miedo o terror",0,24,0,0,7,3,2
"Paquete chileno",0,0,0,0,2,0,0
"Raponazo",0,0,0,0,12,1,0
"Retención de dinero",0,0,0,0,1,0,1
"Rompimiento cerraduta",305,269,4,23,757,1887,1002
"Rompimiento de caja fuerte",3,2,0,0,10,31,19
"Rompimiento de pared",15,11,0,0,60,111,0
"Rompimiento de ventana",14,13,0,0,42,129,6
"Simulando necesidad",0,0,0,0,2,0,0
"Suplantación",9,23,0,0,41,10,0
"Vandalismo",60,18,0,0,104,196,8
"Ventosa",50,82,0,0,241,551,33
